    0.0000  -11.4231
    0.0173  -11.4227
    0.0346  -11.4215
    0.0520  -11.4194
    0.0693  -11.4166
    0.0866  -11.4129
    0.1039  -11.4085
    0.1212  -11.4032
    0.1386  -11.3972
    0.1559  -11.3905
    0.1732  -11.3830
    0.1905  -11.3747
    0.2078  -11.3658
    0.2252  -11.3561
    0.2425  -11.3458
    0.2598  -11.3349
    0.2771  -11.3234
    0.2944  -11.3112
    0.3118  -11.2985
    0.3291  -11.2853
    0.3464  -11.2717
    0.3637  -11.2575
    0.3811  -11.2430
    0.3984  -11.2281
    0.4157  -11.2130
    0.4330  -11.1975
    0.4503  -11.1819
    0.4677  -11.1661
    0.4850  -11.1502
    0.5023  -11.1343
    0.5196  -11.1184
    0.5369  -11.1026
    0.5543  -11.0869
    0.5716  -11.0716
    0.5889  -11.0565
    0.6062  -11.0418
    0.6235  -11.0276
    0.6409  -11.0139
    0.6582  -11.0008
    0.6755  -10.9884
    0.6928  -10.9768
    0.7101  -10.9660
    0.7275  -10.9562
    0.7448  -10.9473
    0.7621  -10.9395
    0.7794  -10.9328
    0.7967  -10.9272
    0.8141  -10.9228
    0.8314  -10.9197
    0.8487  -10.9178
    0.8660  -10.9171
    0.8760  -10.9172
    0.8860  -10.9175
    0.8960  -10.9180
    0.9060  -10.9188
    0.9160  -10.9197
    0.9260  -10.9207
    0.9360  -10.9220
    0.9460  -10.9235
    0.9560  -10.9251
    0.9660  -10.9269
    0.9760  -10.9289
    0.9860  -10.9310
    0.9960  -10.9332
    1.0060  -10.9356
    1.0160  -10.9381
    1.0260  -10.9407
    1.0360  -10.9434
    1.0460  -10.9461
    1.0560  -10.9490
    1.0660  -10.9519
    1.0760  -10.9548
    1.0860  -10.9578
    1.0960  -10.9608
    1.1060  -10.9638
    1.1160  -10.9668
    1.1260  -10.9698
    1.1360  -10.9728
    1.1460  -10.9757
    1.1560  -10.9786
    1.1660  -10.9815
    1.1760  -10.9842
    1.1860  -10.9869
    1.1960  -10.9895
    1.2060  -10.9920
    1.2160  -10.9944
    1.2260  -10.9966
    1.2360  -10.9988
    1.2460  -11.0008
    1.2560  -11.0027
    1.2660  -11.0044
    1.2760  -11.0060
    1.2860  -11.0075
    1.2960  -11.0087
    1.3060  -11.0099
    1.3160  -11.0108
    1.3260  -11.0116
    1.3360  -11.0122
    1.3460  -11.0127
    1.3560  -11.0129
    1.3660  -11.0130
 
    0.0000  -10.7446
    0.0173  -10.7448
    0.0346  -10.7453
    0.0520  -10.7462
    0.0693  -10.7474
    0.0866  -10.7490
    0.1039  -10.7509
    0.1212  -10.7532
    0.1386  -10.7558
    0.1559  -10.7586
    0.1732  -10.7618
    0.1905  -10.7652
    0.2078  -10.7690
    0.2252  -10.7729
    0.2425  -10.7771
    0.2598  -10.7815
    0.2771  -10.7861
    0.2944  -10.7909
    0.3118  -10.7958
    0.3291  -10.8009
    0.3464  -10.8061
    0.3637  -10.8114
    0.3811  -10.8167
    0.3984  -10.8221
